term_id,term_str,n,num,pos_max,p_stem,tfidf_sum
533,abstracts,1,0,VBZ,abstract,1.1849086635246452e-05
534,abstruse,2,0,NN,abstrus,2.0742331200935806e-05
535,absurd,34,0,JJ,absurd,3.049920317914089e-05
536,absurdest,1,0,JJS,absurdest,1.1849086635246452e-05
537,absurdities,4,0,NNS,absurd,2.5400162861037042e-05
538,absurdity,4,0,NN,absurd,2.1781830854152524e-05
539,absurdly,2,0,RB,absurdli,1.6400901883013047e-05
540,abundance,9,0,NN,abund,8.645134852975614e-06
541,abundant,7,0,JJ,abund,4.104510899667034e-05
542,abundantly,6,0,RB,abundantli,4.2347106937240245e-05
543,abuse,15,0,VB,abus,1.4197036442204475e-05
544,abused,10,0,VBN,abus,3.491688777360075e-05
545,abusing,4,0,VBG,abus,2.319155762398074e-05
546,abusive,3,0,JJ,abus,2.7398828065989866e-05
547,abutments,1,0,NNS,abut,1.2752266189273116e-05
548,abuts,1,0,NN,abut,1.2684738914136435e-05
549,abutting,1,0,VBG,abut,1.2684738914136435e-05
550,abysmal,1,0,JJ,abysm,1.2752266189273116e-05
551,abyss,8,0,NN,abyss,1.5083797299577655e-05
552,abysses,2,0,VBZ,abyss,2.550453237854623e-05
554,abyssinian,1,0,JJ,abyssinian,1.0371165600467903e-05
556,acacias,1,0,RP,acacia,1.0371165600467903e-05
559,acause,2,0,IN,acaus,2.536947782827287e-05
560,acceded,4,0,VBN,acced,3.0741206019472453e-05
561,acceding,1,0,VBG,acced,1.2684738914136435e-05
562,accent,8,0,NN,accent,2.719429093833079e-05
563,accented,4,0,JJ,accent,3.083124238632136e-05
564,accents,4,0,NN,accent,2.043495401662034e-05
565,accept,16,0,VB,accept,3.0565663751149736e-05
566,acceptable,6,0,JJ,accept,4.328648187131624e-05
568,acceptation,1,0,NN,accept,1.551194604840247e-05
569,accepted,24,0,VBD,accept,7.49147347179916e-05
570,accepting,2,0,VBG,accept,2.2027099874790287e-05
571,accepts,2,0,RB,accept,2.550453237854623e-05
572,access,8,0,NN,access,3.991910470181719e-05
573,accessible,5,0,JJ,access,4.2136017320680525e-05
574,accession,1,0,NN,access,2.0355910898048993e-05
575,accessories,3,0,NNS,accessori,2.614007954593025e-05
576,accessory,4,0,NN,accessori,1.5885752446374635e-05
577,accident,52,0,NN,accid,4.608336244579076e-05
578,accidental,12,0,JJ,accident,2.369969811112634e-05
579,accidentally,9,0,RB,accident,1.9593255248540274e-05
580,accidently,6,0,RB,accid,7.610843348481861e-05
581,accidents,14,0,NNS,accid,2.937896238237376e-05
582,acclamation,1,0,NN,acclam,1.551194604840247e-05
583,acclamations,2,0,NNS,acclam,3.102389209680494e-05
584,acclivities,1,0,NNS,accliv,1.0371165600467903e-05
585,acclivity,1,0,NN,accliv,1.2752266189273116e-05
586,accommodate,12,0,VB,accommod,4.714899323977941e-05
587,accommodated,3,0,VBN,accommod,2.4812376309012884e-05
588,accommodating,4,0,VBG,accommod,3.43129384663018e-05
589,accommodation,6,0,NN,accommod,2.4212396477989204e-05
590,accommodations,1,0,JJ,accommod,1.2752266189273116e-05
591,accompanied,48,0,VBN,accompani,4.453501431667966e-05
592,accompaniment,3,0,NN,accompani,3.425320199656929e-05
593,accompany,20,0,VB,accompani,3.81364780906199e-05
594,accompanying,15,0,VBG,accompani,1.4555828048411022e-05
595,accompanyist,1,0,NN,accompanyist,1.2684738914136435e-05
596,accomplice,3,0,NN,accomplic,2.5414496011697326e-05
597,accomplices,1,0,NNS,accomplic,1.551194604840247e-05
598,accomplish,10,0,VB,accomplish,4.359224373112477e-05
599,accomplished,48,0,VBN,accomplish,4.0787218623586005e-05
600,accomplishing,3,0,VBG,accomplish,3.01154047607938e-05
601,accomplishment,1,0,NN,accomplish,1.2752266189273116e-05
602,accomplishments,3,0,NNS,accomplish,3.425320199656929e-05
603,accord,18,0,NN,accord,1.6559444745933612e-05
604,accordance,5,0,NN,accord,3.000601636114093e-05
605,accordant,1,0,NN,accord,2.0355910898048993e-05
606,accorded,3,0,VBD,accord,1.822350281325994e-05
607,according,83,0,VBG,accord,0.0
608,accordingly,29,0,RB,accordingli,5.4966702172687875e-05
609,accordion,1,0,NN,accordion,1.0371165600467903e-05
610,accost,1,0,VB,accost,1.551194604840247e-05
611,accosted,9,0,VBD,accost,2.1371962837035032e-05
613,account,179,0,NN,account,0.0
614,accountable,1,0,JJ,account,2.0355910898048993e-05
615,accountant,3,0,NN,account,3.554725990573935e-05
616,accounted,8,0,VBN,account,3.228665432938768e-05
617,accounth,1,0,NN,accounth,2.0355910898048993e-05
618,accounting,2,0,NN,account,1.6400901883013047e-05
619,accounts,21,0,NNS,account,2.0357971538031704e-05
620,accoutred,1,0,NN,accoutr,1.551194604840247e-05
621,accoutrements,2,0,NN,accoutr,2.556702087303128e-05
622,accredited,1,0,VBN,accredit,1.1849086635246452e-05
623,accumulate,1,0,NN,accumul,1.2684738914136435e-05
624,accumulated,12,0,JJ,accumul,2.239949748622577e-05
625,accumulates,1,0,NNS,accumul,2.0355910898048993e-05
626,accumulating,2,0,VBG,accumul,1.824068845576595e-05
627,accumulation,1,0,NN,accumul,1.2752266189273116e-05
628,accumulations,1,0,NNS,accumul,1.2752266189273116e-05
629,accumulative,1,0,JJ,accumul,1.1849086635246452e-05
630,accuracy,7,0,NN,accuraci,2.0917838796432445e-05
631,accurate,14,0,JJ,accur,2.4885352821138716e-05
632,accurately,6,0,RB,accur,3.6965542233595334e-05
633,accursed,6,0,VBN,accurs,5.8620597228320175e-05
634,accusation,4,0,NNS,accus,2.550831338617236e-05
635,accusations,1,0,NNS,accus,2.0355910898048993e-05
637,accusatory,1,0,JJ,accusatori,1.1849086635246452e-05
638,accuse,4,0,VB,accus,2.4974151881860484e-05
639,accused,21,0,VBN,accus,7.349801437183276e-05
640,accuses,2,0,VBZ,accus,1.6400901883013047e-05
641,accusing,5,0,VBG,accus,2.5234716774446538e-05
642,accustom,1,0,VB,accustom,1.0371165600467903e-05
643,accustomed,56,0,VBN,accustom,5.1806466626975434e-05
644,accuthtomed,1,0,VBD,accuthtom,2.0355910898048993e-05
646,acerbity,1,0,NN,acerb,1.2684738914136435e-05
647,ach,5,0,NN,ach,6.376133094636558e-05
648,ache,11,0,NN,ach,8.158228285024718e-05
649,ached,4,0,VBD,ach,2.126251213765216e-05
650,aches,1,0,VBZ,ach,2.797936570907902e-05
651,achieve,5,0,VB,achiev,2.720435192500916e-05
652,achieved,15,0,VBN,achiev,2.5786280804841975e-05
653,achievement,6,0,NN,achiev,2.2873815836573458e-05
654,achievements,6,0,NNS,achiev,3.289909104915281e-05
655,achieving,1,0,VBG,achiev,1.551194604840247e-05
657,aching,8,0,VBG,ach,2.8964929575583662e-05
658,acid,1,0,NN,acid,1.1849086635246452e-05
659,acknowledge,11,0,VB,acknowledg,4.213551354358213e-05
660,acknowledged,12,0,VBN,acknowledg,3.772113356308209e-05
661,acknowledging,4,0,VBG,acknowledg,2.94921924766155e-05
662,acknowledgment,15,0,NN,acknowledg,4.75389408072666e-05
663,acknowledgments,4,0,NNS,acknowledg,2.6701846356594574e-05
664,acorn,6,0,NN,acorn,7.65135971356387e-05
665,acorns,4,0,NN,acorn,5.100906475709246e-05
666,acos,1,0,NNS,aco,1.2684738914136435e-05
667,acoustical,1,0,JJ,acoust,1.551194604840247e-05
668,acquaintance,58,0,NN,acquaint,0.0001027134454618341
669,acquaintances,12,0,NNS,acquaint,4.986928652605739e-05
670,acquaintanceship,1,0,NN,acquaintanceship,1.2752266189273116e-05
671,acquainted,55,0,VBN,acquaint,4.852253664633404e-05
672,acquainting,1,0,VBG,acquaint,1.2684738914136435e-05
673,acquiesced,8,0,VBD,acquiesc,4.841023178258602e-05
674,acquiescence,3,0,NN,acquiesc,1.8888756166140648e-05
675,acquire,9,0,VB,acquir,1.9615426193474475e-05
676,acquired,29,0,VBN,acquir,2.8165938470463385e-05
677,acquirement,2,0,NN,acquir,2.715442126556809e-05
678,acquirements,3,0,NNS,acquir,1.7797491834083385e-05
679,acquisition,7,0,NN,acquisit,2.2079778393798043e-05
680,acquisitions,1,0,NNS,acquisit,1.2752266189273116e-05
681,acquit,5,0,VB,acquit,1.730439152759942e-05
682,acquittal,3,0,JJ,acquitt,2.614007954593025e-05
683,acquitted,8,0,RB,acquit,5.028898165073801e-05
684,acre,9,0,NN,acr,5.121704736341972e-05
685,acres,11,0,NNS,acr,6.072775139835524e-05
686,acrimonious,1,0,JJ,acrimoni,1.2752266189273116e-05
687,acrimony,1,0,NN,acrimoni,2.0355910898048993e-05
688,acrobatic,1,0,JJ,acrobat,1.0371165600467903e-05
690,across,266,0,IN,across,0.0
691,acrost,4,0,FW,acrost,7.388750149248872e-05
692,act,94,0,NN,act,0.0
693,acted,38,0,VBD,act,0.0
694,actin,1,0,NN,actin,1.847187537312218e-05
695,acting,11,0,VBG,act,5.971176350601169e-05
696,action,89,0,NN,action,0.0
697,actions,11,0,NN,action,2.3984790289980896e-05
698,active,19,0,JJ,activ,3.491139420545943e-05
699,actively,6,0,RB,activ,2.6998240916532463e-05
700,activities,2,0,NN,activ,2.715442126556809e-05
701,activity,6,0,NN,activ,3.518388835163229e-05
702,actor,9,0,NN,actor,1.6133005252612265e-05
703,actors,7,0,NNS,actor,3.9794914503912205e-05
704,actress,2,0,NN,actress,2.0742331200935806e-05
705,actresses,3,0,NNS,actress,2.3917131986009424e-05
706,acts,16,0,NNS,act,3.252047201619151e-05
707,actual,16,0,JJ,actual,3.357262674003882e-05
708,actually,54,0,RB,actual,4.608123005149052e-05
710,actuated,1,0,VBN,actuat,1.2684738914136435e-05
711,actuly,4,0,RB,actuli,7.388750149248872e-05
712,acute,4,0,JJ,acut,2.0133894165278118e-05
713,acuteness,5,0,NN,acut,2.4362140469990262e-05
714,acutest,1,0,JJS,acutest,1.2684738914136435e-05
716,adage,2,0,NN,adag,2.0771076191505746e-05
718,adamant,4,0,NN,adam,2.5400162861037042e-05
719,adamantine,3,0,JJ,adamantin,2.48012294880227e-05
722,adapt,1,0,VB,adapt,1.1849086635246452e-05
723,adaptation,1,0,NN,adapt,2.0355910898048993e-05
724,adapted,8,0,VBN,adapt,3.707720004227494e-05
725,adapting,1,0,VBG,adapt,2.0355910898048993e-05
726,add,50,0,VB,add,4.31062599272886e-05
727,added,160,0,VBD,ad,0.00015186577051554568
728,addeding,1,0,VBG,added,1.2752266189273116e-05
729,adders,1,0,NN,adder,2.0355910898048993e-05
730,adding,10,0,VBG,ad,3.341476214004628e-05
732,addition,26,0,NN,addit,4.5653600145281064e-05
733,additional,13,0,JJ,addit,3.8972892094275234e-05
734,additionally,2,0,RB,addit,3.102389209680494e-05
735,additions,6,0,NNS,addit,3.670201843490133e-05
736,addle,1,0,JJ,addl,1.1849086635246452e-05
737,addled,2,0,VBD,addl,2.588519084744745e-05
738,addling,1,0,VB,addl,1.847187537312218e-05
739,address,55,0,NN,address,0.00010691645554736774
740,addressed,51,0,VBD,address,0.00010314069747921706
741,addresses,3,0,VBZ,address,2.652892396275679e-05
742,addressing,38,0,VBG,address,0.00012322467142845695
743,addreth,1,0,JJ,addreth,2.0355910898048993e-05
744,adds,5,0,VBZ,add,4.0920153571706914e-05
745,adept,1,0,IN,adept,1.2684738914136435e-05
746,adepts,1,0,RB,adept,1.1849086635246452e-05
747,adequate,2,0,JJ,adequ,1.5370603009736227e-05
748,adequately,2,0,RB,adequ,1.824068845576595e-05
750,adhere,2,0,VB,adher,1.5370603009736227e-05
751,adhered,2,0,VBD,adher,1.635588369958859e-05
752,adherence,1,0,NN,adher,2.0355910898048993e-05
753,adherent,1,0,NN,adher,2.797936570907902e-05
754,adieu,9,0,NN,adieu,7.250855449867657e-05
755,adieus,1,0,NNS,adieu,1.2684738914136435e-05
756,adjacent,9,0,JJ,adjac,4.251018696493493e-05
757,adjective,7,0,NN,adject,3.035161211829261e-05
758,adjectives,2,0,NNS,adject,2.550453237854623e-05
759,adjoined,2,0,VBD,adjoin,2.3698173270492903e-05
760,adjoining,14,0,NN,adjoin,6.52435643466656e-05
761,adjourned,6,0,VBD,adjourn,2.3719756133063024e-05
762,adjuncts,2,0,NNS,adjunct,1.4813501490476236e-05
763,adjuration,3,0,NN,adjur,2.2507088173025162e-05
764,adjure,1,0,VBP,adjur,1.551194604840247e-05
765,adjured,4,0,VBD,adjur,2.9823749954785087e-05
766,adjusted,7,0,VBD,adjust,5.178562296406331e-05
767,adjusting,5,0,VBG,adjust,3.981936880935354e-05
768,adjustment,3,0,NN,adjust,3.405532493104393e-05
769,administer,1,0,VB,administ,1.0371165600467903e-05
770,administered,14,0,VBN,administ,1.4374187592464174e-05
771,administering,4,0,VBG,administ,3.3268868918437176e-05
772,administers,1,0,VBZ,administ,1.0371165600467903e-05
773,administration,2,0,NN,administr,2.14699983555303e-05
774,administrative,1,0,JJ,administr,1.1849086635246452e-05
775,admirable,13,0,JJ,admir,3.132051690654592e-05
776,admirably,3,0,RB,admir,1.6889968108854903e-05
780,admiration,64,0,NN,admir,5.659350692361652e-05
781,admire,23,0,VB,admir,4.0547599585461335e-05
782,admired,14,0,VBD,admir,3.1248587294345374e-05
783,admirer,1,0,NN,admir,1.1849086635246452e-05
784,admirers,7,0,NN,admir,3.480268316383124e-05
785,admires,1,0,VBZ,admir,1.1849086635246452e-05
786,admiring,23,0,VBG,admir,2.2108339742919875e-05
787,admiringly,1,0,VB,admiringli,2.0355910898048993e-05
788,admission,24,0,NN,admiss,2.1742410858051163e-05
789,admissions,6,0,NNS,admiss,4.9067651098765773e-05
790,admit,27,0,VB,admit,8.735384549305068e-05
791,admittance,2,0,NNS,admitt,1.884280815845039e-05
792,admitted,37,0,VBN,admit,0.0
793,admitting,6,0,VBG,admit,3.4353974591660624e-05
794,admonish,1,0,VB,admonish,1.551194604840247e-05
795,admonished,3,0,VBN,admonish,2.1173553468620122e-05
796,admonition,3,0,NN,admonit,3.0483592484214576e-05
797,admonitions,1,0,NNS,admonit,1.2684738914136435e-05
798,admonitory,5,0,NN,admonitori,3.0157905759122205e-05
799,ado,2,0,RB,ado,2.2027099874790287e-05
800,adolescents,1,0,JJ,adolesc,1.2752266189273116e-05
803,adopt,3,0,VB,adopt,1.9193628830647883e-05
804,adopted,26,0,VBN,adopt,4.5491664968732505e-05
805,adoption,3,0,NN,adopt,3.554725990573935e-05
806,adorable,1,0,JJ,ador,1.551194604840247e-05
807,adoration,4,0,NN,ador,5.31046031257673e-05
808,adore,3,0,IN,ador,2.271289258064054e-05
809,adored,5,0,JJ,ador,2.8261905355631345e-05
810,adoring,4,0,VBG,ador,3.2801803766026094e-05
811,adorn,8,0,VB,adorn,2.8304405878996616e-05
812,adorned,21,0,VBN,adorn,9.747585416841013e-05
813,adorning,1,0,VBG,adorn,1.0371165600467903e-05
814,adornment,6,0,NN,adorn,2.6429171130555822e-05
815,adornments,2,0,NN,adorn,2.3911904630967644e-05
816,adorns,1,0,VBZ,adorn,1.2752266189273116e-05
819,adrift,6,0,VBP,adrift,2.5356920174657424e-05
820,adulation,2,0,NN,adul,2.0742331200935806e-05
821,adulations,1,0,NNS,adul,1.2752266189273116e-05
822,adult,2,0,NN,adult,1.5370603009736227e-05
823,adults,1,0,NN,adult,2.797936570907902e-05
824,adust,1,0,NN,adust,1.551194604840247e-05
825,advance,47,0,NN,advanc,0.0
826,advanced,45,0,VBD,advanc,8.513996105071149e-05
827,advancement,5,0,NN,advanc,2.7641891743730014e-05
828,advances,1,0,JJ,advanc,2.797936570907902e-05
829,advancing,15,0,VBG,advanc,4.531549315901244e-05
830,advantage,54,0,NN,advantag,0.0
831,advantageous,1,0,JJ,advantag,1.2684738914136435e-05
832,advantages,19,0,NNS,advantag,4.767988983835379e-05
833,adventure,37,0,NN,adventur,9.56887855152469e-05
834,adventurer,5,0,NN,adventur,3.615795239409649e-05
835,adventurers,4,0,NNS,adventur,2.0983961378022166e-05
836,adventures,28,0,NNS,adventur,6.773227813199624e-05
837,adventurous,11,0,JJ,adventur,5.379998886346435e-05
838,adverbiously,1,0,NN,adverbi,1.551194604840247e-05
839,adversaries,2,0,NN,adversari,1.541562119316068e-05
840,adversary,7,0,NN,adversari,3.11950759636186e-05
841,adversarys,1,0,NN,adversari,1.1849086635246452e-05
842,adversity,1,0,NN,advers,1.2684738914136435e-05
843,adverted,1,0,VBN,advert,1.1849086635246452e-05
844,adverting,1,0,VBG,advert,1.2684738914136435e-05
845,advertise,4,0,VB,advertis,2.8997691941029566e-05
846,advertised,8,0,VBD,advertis,4.4967613842227535e-05
847,advertisement,6,0,NN,advertis,3.7334565806899304e-05
848,advertisements,3,0,NNS,advertis,1.961963980982444e-05
849,advertiser,1,0,NN,advertis,1.2684738914136435e-05
850,advertising,4,0,NN,advertis,3.241864277885817e-05
851,advice,38,0,NN,advic,3.412537106531854e-05
852,advisability,1,0,NN,advis,1.2684738914136435e-05
853,advisable,6,0,JJ,advis,3.68381373982053e-05
854,advise,21,0,VB,advis,4.289296610549219e-05
855,advised,15,0,VBD,advis,4.395149237150697e-05
856,advisedly,1,0,NN,advisedli,1.1849086635246452e-05
857,adviser,6,0,NN,advis,3.086889334304327e-05
858,advisers,2,0,NNS,advis,2.3698173270492903e-05
859,advithe,1,0,NN,advith,2.0355910898048993e-05
860,advocate,4,0,NN,advoc,2.550831338617236e-05
861,advocated,1,0,VBD,advoc,1.2684738914136435e-05
862,advocates,2,0,NN,advoc,1.7255407765913584e-05
863,adwise,1,0,VB,adwis,1.1849086635246452e-05
864,aeolian,1,0,JJ,aeolian,1.0371165600467903e-05
866,afar,9,0,NN,afar,5.5120169976984244e-05
867,afeard,19,0,RB,afeard,0.0002846837031846508
868,afeared,2,0,VBN,afear,3.694375074624436e-05
869,afeerd,4,0,VBN,afeerd,4.7396346540985806e-05
870,affability,3,0,NN,affabl,2.1173553468620122e-05
871,affable,4,0,JJ,affabl,2.1387671083823474e-05
872,affablest,1,0,JJ,affablest,1.2684738914136435e-05
873,affably,1,0,RB,affabl,1.551194604840247e-05
874,affair,19,0,NN,affair,1.6246294396802638e-05
875,affairs,57,0,NNS,affair,0.0
876,affect,8,0,VB,affect,4.099610112334873e-05
877,affectation,3,0,NN,affect,2.047644890689191e-05
878,affectations,1,0,JJ,affect,1.2752266189273116e-05
879,affected,26,0,VBN,affect,5.224542928082299e-05
880,affecting,14,0,VBG,affect,6.377497049436398e-05
881,affectingly,1,0,RB,affectingli,1.551194604840247e-05
882,affection,38,0,NN,affect,3.380650380777902e-05
883,affectionate,29,0,JJ,affection,5.8300210270228984e-05
884,affectionately,9,0,RB,affection,2.9091921599827855e-05
885,affections,15,0,NNS,affect,7.749380613569011e-05
886,affective,1,0,JJ,affect,1.2752266189273116e-05
887,affects,1,0,VBZ,affect,1.0371165600467903e-05
888,affianced,3,0,NN,affianc,3.554725990573935e-05
889,affidavit,1,0,NN,affidavit,1.551194604840247e-05
890,affinity,3,0,NN,affin,2.1173553468620122e-05
891,affirm,3,0,VBP,affirm,3.8054216742409304e-05
892,affirmative,14,0,NN,affirm,6.563726615882912e-05
893,affirmed,1,0,VBD,affirm,1.2684738914136435e-05
894,affix,1,0,VB,affix,1.2684738914136435e-05
895,affixed,1,0,JJ,affix,1.0371165600467903e-05
896,affixes,1,0,NN,affix,1.0371165600467903e-05
897,afflict,1,0,VB,afflict,1.2752266189273116e-05
898,afflicted,14,0,VBN,afflict,1.2957113508067362e-05
899,afflicting,2,0,NN,afflict,2.715442126556809e-05
900,affliction,9,0,NN,afflict,1.7602258490582555e-05
901,afflictive,1,0,JJ,afflict,1.2752266189273116e-05
902,afflicts,1,0,VBZ,afflict,1.2752266189273116e-05
903,affluent,5,0,JJ,affluent,2.986601462715811e-05
904,afford,47,0,VB,afford,3.910353641415953e-05
905,afforded,22,0,VBD,afford,0.0
906,affording,2,0,IN,afford,2.536947782827287e-05
907,affords,8,0,VBZ,afford,4.468677724920982e-05
908,affright,1,0,NN,affright,1.2684738914136435e-05
909,affrighted,1,0,NN,affright,1.551194604840247e-05
910,affront,7,0,NN,affront,4.085239349702301e-05
911,afire,7,0,NN,afir,3.8000266788470265e-05
913,afloat,4,0,NN,afloat,2.899598767159211e-05
914,afoot,7,0,JJ,afoot,2.7044424853733534e-05
915,afore,49,0,IN,afor,0.00022756892787683243
916,aforehand,1,0,NN,aforehand,1.1849086635246452e-05
917,aforesaid,6,0,NN,aforesaid,2.953278915279109e-05
918,afraid,177,0,JJ,afraid,0.0
919,afresh,12,0,NN,afresh,5.567286869872133e-05
922,aft,17,0,NN,aft,0.00010315780968606566
924,afternoon,133,0,NN,afternoon,0.0
925,afternoons,9,0,NN,afternoon,4.836430947467279e-05
926,aftertime,1,0,NN,aftertim,1.2752266189273116e-05
927,afterward,67,0,RB,afterward,0.00043238410152167774
928,afterwards,138,0,NNS,afterward,0.0002615356524894562
931,againtht,1,0,RP,againtht,2.0355910898048993e-05
934,agate,2,0,NN,agat,2.0742331200935806e-05
935,age,156,0,NN,age,0.0
938,agen,19,0,NN,agen,0.00021814302481554205
939,agency,6,0,NN,agenc,3.3170184631704466e-05
940,agent,32,0,NN,agent,0.00013569480838316304
941,agents,4,0,NNS,agent,3.3961024987970523e-05
942,ages,80,0,NNS,age,0.00013498761466362063
945,agglomeration,1,0,NN,agglomer,1.0371165600467903e-05
946,aggravate,3,0,JJ,aggrav,2.7925060959321285e-05
947,aggravated,9,0,VBD,aggrav,2.862103126444863e-05
948,aggravating,9,0,VBG,aggrav,1.7132562949845937e-05
949,aggravation,7,0,NN,aggrav,2.8162092023071355e-05
950,aggravations,2,0,NNS,aggrav,1.541562119316068e-05
952,aggressive,1,0,VBZ,aggress,1.2752266189273116e-05
953,aghast,2,0,NN,aghast,1.635588369958859e-05
954,agicultooral,1,0,JJ,agicultoor,1.551194604840247e-05
955,agile,1,0,NN,agil,1.0371165600467903e-05
956,agility,4,0,NN,agil,3.571077519387452e-05
957,agin,38,0,NN,agin,0.0001537201780016281
958,aging,1,0,VBG,age,1.2752266189273116e-05
959,agitated,17,0,JJ,agit,3.49372510085009e-05
960,agitation,24,0,NN,agit,0.00011573749899028999
961,aglow,3,0,IN,aglow,2.2329731593472613e-05
964,ago,300,0,RB,ago,0.0
965,agoing,2,0,VBG,ago,2.0771076191505746e-05
966,agone,3,0,IN,agon,2.2329731593472613e-05
967,agonies,3,0,NNS,agoni,2.271289258064054e-05
968,agonised,2,0,JJ,agonis,1.879778997502594e-05
969,agonising,1,0,NN,agonis,1.2684738914136435e-05
970,agonizing,2,0,NN,agon,1.4813501490476236e-05
971,agony,37,0,NN,agoni,3.5917411471599925e-05
973,agree,10,0,VB,agre,3.6474219153860034e-05
974,agreeable,52,0,JJ,agreeabl,5.136459426382584e-05
975,agreeably,6,0,RB,agreeabl,3.833461516002668e-05
976,agreed,48,0,VBD,agre,5.45814265308221e-05
977,agreeing,4,0,VBG,agre,4.29399967110606e-05
978,agreement,7,0,NN,agreement,2.4011563734955402e-05
